c0010407.test.cloud.fedex.com	Cluster Master
c0011331.test.cloud.fedex.com	Deployer
c0011906.test.cloud.fedex.com	Deployment Server
c0011999.test.cloud.fedex.com	Deployment Server
c0012893.test.cloud.fedex.com	Search Head
c0012894.test.cloud.fedex.com	Search Head
c0012895.test.cloud.fedex.com	indexer
c0011038.test.cloud.fedex.com	indexer
c0011036.test.cloud.fedex.com	indexer
c0011042.test.cloud.fedex.com	indexer
c0005825.test.cloud.fedex.com	indexer
c0004847.test.cloud.fedex.com	indexer
c0004509.test.cloud.fedex.com	indexer
c0004510.test.cloud.fedex.com	indexer
c0005556.test.cloud.fedex.com	indexer
